class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,364,20,18,0,0,0,0,0,0,64,6858,20758,0,0,0,14734,0,0,0,0,0,25904,22702,38250,1034,0,0,0,0,32,10,0,0,0,0,0,0,21104,5414,1162,0,1292,98,362,70,240,25202,416,0,0,0,18110,7202,1566,314,88,64,336,0,0,0,64184,0,0,28,0,14734,346,34606,3572,,,,38100,364.8,64184,64184,64202,82,0,6262,63960,27680,1209600,802,0,2,0,20741.76,0,5730.24,,,0,0,0,2794,21132,3498,222,34,0,0,0,4,64184,1230,14,240,1234,1488,18492,4772,210,0,0,42,66,20742,12900,0,4,0,0,21162,52,24,0,0,0,14,0,0,0,0,210,16,8,0,0,504,160,0,0,0,0,0,0,0,,,7346,4016,1494,368,1636,12812,8,0,0,0,0,0
neg,29580,270,266,0,0,0,0,0,0,1168,286722,1355300,339596,10760,88,852576,0,0,0,392,792,1813022,1595416,272030,180670,0,0,0,0,350,126,0,0,0,0,0,6900,1186538,776604,23592,0,1234,216,442,11482,999576,977564,3120,0,0,0,758796,626378,245738,128862,77154,48370,64212,44042,82,0,2085820,102,104,306,0,852576,20722,138744,131232,160260,,,107860,29580.09,2085820,2085820,2088348,9963,2068,85124,872060,1993634,1209600,47376,0,82,0,1854159.36,0,137750.4,0,0,0,0,778,102816,567434,1161872,148074,10410,2186,64,38,44,2085820,2498,392,916,67934,64418,1294822,544728,17782,144,0,420,342,1517104,16114,18,3748,0,0,1868082,1194,236,0,0,0,0,0,0,0,0,11648,19320,3172,0,0,52476,6470,1205740,132650,0,0,0,0,0,777.74,856,146960,467896,357888,169474,405634,241734,103950,38756,58490,2852,0,0
neg,351350,,,,,0,0,0,0,212092,10273034,27174584,17039046,2311072,49032,17546920,251512,184,,0,0,28628040,18420822,23482508,9812768,,0,16630,0,,,0,0,0,0,0,20504,35318118,21688222,32016,0,83384,65886,137054,23340842,29332440,4099236,16,0,2,0,23954336,10732836,3653618,2839650,2556968,2617598,2834828,3885164,3284156,699706,52125794,,,,,17546920,993820,8202066,15179190,590160,573380,598440,628060,351350.44,52125794,52125794,61809198,311597,,,1151600,57058860,1209600,,,,,38835647.04,0,18174559.68,,,0,0,330,544328,9937526,26311416,17332336,2737930,187842,7152,,,52125794,59572,18336,11573102,8722976,22016616,14185474,477680,5104,0,0,,,,,,,,,,,,,,,,,,,,702706,,,,,,,,,,,,,,,,18451330,25583270,9264854,1368382,1751878,464156,111200,39766,23890,134,,
neg,66,36,6,0,0,0,0,0,0,1156,22028,8808,30,0,0,11796,0,0,0,230,572,39858,29322,40374,1674,0,0,0,0,20,20,0,0,0,0,0,0,706,18992,12324,0,1346,122,108,176,356,29914,0,0,0,0,28890,1922,304,218,50,32,90,372,124,20,80626,6,4,0,8,11796,810,29670,10636,1310700,1310700,1310700,39660,66.88,80626,80626,81362,64,0,7310,79720,32022,1209600,1366,0,4,0,10896,6387.84,13365.12,,,0,0,580,18382,11134,1926,0,0,0,0,14,18,80626,1244,18,330,596,7478,21046,1310,0,0,0,20,38,9788,46,0,0,0,0,13052,188,76,0,0,30,6386,0,0,0,0,762,0,0,6256,1158,502,178,5680,818,57104,46,0,0,0,,,21900,8094,1480,446,102,0,0,0,0,0,0,0
neg,48612,0,3434,0,0,0,0,0,4024,359622,3169062,2275790,402720,4406,0,2678264,0,0,0,7496,13938,5182604,3887796,1516218,1070766,0,0,0,0,0,0,0,0,0,0,0,3784936,2155232,260352,15104,0,9060,2918,5690,71266,3702630,2407488,16570,2,0,0,2981172,1302218,444748,299870,243306,490088,454036,186,0,0,6709490,0,0,0,0,2678264,102084,606246,903688,294400,333480,291440,133080,48612.12,6709490,6709490,6726134,31757,0,47400,632160,6215624,1209600,0,112,340,0,4695374.4,0,1506694.08,0,0,0,0,8636,355650,1723394,2723066,1176458,194432,30252,3736,2550,0,6709490,20682,3524,531302,884904,410200,3037888,1200766,124190,2168,0,5906,6512,393072,29994,0,202174,0,68,4797560,0,0,0,0,0,0,0,0,0,0,71032,0,0,0,0,0,0,0,0,0,0,0,0,0,5950.64,6296,1570592,3046988,564708,205742,296524,162896,112744,73680,163632,18118,0,0
neg,38934,196,190,0,0,0,0,0,0,772,930580,1253350,374836,19740,792,1085232,0,0,0,0,0,2360198,2127944,450778,196074,0,0,0,0,260,50,0,0,0,0,0,271110,1864972,153690,290298,0,1352,842,770,8346,1265706,1290986,12068,0,0,0,958878,601320,308318,241368,177004,137010,153768,2404,0,0,2811318,24,202,234,14,1085232,23170,276482,170372,205220,185560,,55680,38933.41,2811318,2811318,2795164,14674,2642,37006,387780,2580070,1209600,78262,2,60,0,2249980.8,0,328645.44,0,0,0,0,0,177306,1121276,948494,319302,11198,2456,38,10,18,2811318,2556,286,37418,277574,87296,1371434,788118,15306,82,0,320,162,2129002,106978,0,156,0,30,2268170,1684,168,0,0,0,0,0,0,0,0,12318,42520,7228,0,0,82862,13494,415600,52888,0,0,0,0,863360,701.18,762,353358,510638,337478,172264,309874,293838,196818,170614,213874,21314,0,0
neg,7894,16,16,0,0,0,0,0,0,408,178230,170474,2110,172,0,149272,0,0,0,0,0,330052,287148,84094,28186,0,0,0,0,34,8,0,0,0,0,0,4722,200010,94468,52194,0,1914,690,498,690,75696,271180,658,48,6,14,141768,110722,39200,22994,13480,6130,6244,10856,0,0,414312,52,120,42,0,149272,4362,53438,30306,,,,82680,7894.13,414312,414312,414100,1667,1650,40426,412700,351394,1209600,10264,2,16,0,312212.16,0,37726.08,0,0,0,0,0,76904,207086,57660,8672,882,190,0,2,10,414312,1842,124,1026,13378,7184,123562,195558,8330,390,0,36,56,211708,11494,0,2018,0,6,315524,330,132,0,0,0,0,0,0,0,0,2622,4376,954,0,0,13654,3052,466860,66828,0,0,0,0,941130,307.72,314,42794,51164,33240,20636,86584,116102,780,58,32,4,0,0
neg,17864,614,560,0,0,0,0,0,0,384,113554,877404,473568,7056,0,559686,0,0,0,0,0,1337586,1138688,250254,152016,0,0,0,0,2184,462,0,0,0,0,0,11264,359950,844250,256502,0,1674,878,1422,7186,901766,558992,48,0,0,0,625936,363992,132152,85220,58878,45746,65404,94638,0,0,1588314,508,574,420,14,559686,17116,119516,128948,180440,,,65660,17863.59,1588314,1588314,1586924,7905,484,35032,372100,1471966,1209600,39626,2,106,0,1076469.12,0,394018.56,0,0,0,0,0,14220,357376,896404,192822,9046,2074,24,22,30,1588314,3226,464,51438,119080,91624,787672,402908,15270,282,2,780,1452,1095556,61558,0,604,0,32,1100592,1418,180,0,0,0,0,0,0,0,0,11466,13450,5374,0,0,30112,5338,2321200,232584,13254,1074,0,0,286710,812.62,978,409612,248796,156074,70206,169764,245200,117754,42386,12174,0,0,0
neg,38020,2130706456,418,0,0,0,0,0,0,474,244978,1855374,242644,5146,0,1144482,0,0,0,0,0,2168516,1953360,300894,185730,0,0,0,0,200,342,0,0,0,0,0,0,820244,112836,1415536,0,2950,2116,3230,6552,228686,2104986,96,0,0,0,630388,894282,367736,177074,101100,82386,95518,132,0,0,2469606,828,1758,988,0,1144482,27470,160326,139712,121020,169820,,7280,38020.74,2469606,2469606,2467230,11954,2376,3066,47080,2348616,1209600,45078,2,68,0,2047881.6,0,299579.52,38,426,0,0,0,15530,1201580,1012514,107764,9798,1430,0,26,32,2469606,2388,290,30704,195166,73004,1768900,271682,6386,96,0,478,552,2028898,423538,0,34222,0,8,2065528,1218,64,0,0,0,0,0,0,0,0,15416,45762,11256,0,0,34774,4672,7959660,803250,0,0,0,0,20750,705.06,690,314970,187372,181142,153576,924404,575216,11742,176,18,0,0,0
neg,4,4,2,0,0,0,0,0,0,10,6,2810,0,0,0,226,0,0,0,0,0,6006,5254,7388,214,0,0,0,0,0,4,0,0,0,0,0,0,0,1016,1810,0,22,18,74,942,46,1296,428,0,0,0,1890,82,56,38,142,92,364,56,72,34,13410,0,0,0,0,226,56,6750,630,,,,7340,4.26,13410,13410,15238,16,0,1316,13300,2842,1209600,84,2,0,0,622.08,0,1187.52,0,6,0,0,0,0,1866,956,4,0,0,0,0,10,13410,1046,4,4,4,50,1106,440,148,24,0,10,14,748,136,0,0,0,0,748,20,52,0,0,0,0,0,0,0,0,82,0,0,0,0,28,4,1220,120,0,0,0,0,0,0.4,16,2266,430,30,10,90,0,0,0,0,0,0,0
neg,74450,3154,796,0,0,0,0,712,217698,1714422,2041848,983762,140340,13538,876,2471966,0,0,0,116070,176154,4215728,3694952,1160332,513980,4,0,0,0,2448,916,0,0,0,0,0,114954,1171644,3751492,75106,0,12472,5662,6718,10636,202320,4875350,38,0,0,0,1348282,1711652,582998,378738,243186,183352,168826,320296,164878,10988,5493680,1252,974,3996,4,2471966,99406,580218,578036,227620,216140,292940,123040,74449.1,5493680,5493680,5537142,34437,6944,56692,642700,5113196,1209600,227908,2,388,0,4389489.6,0,718034.88,168,844,0,32990,570980,1687944,1616380,1000558,175290,24036,4884,134,368,376,5493680,6552,1272,570598,287682,1862236,2371604,13252,0,0,0,2016,1852,4276572,902902,0,27254,0,0,4450706,4820,1204,0,0,0,0,0,0,0,0,48798,24372,5354,18580960,2304732,264628,41582,95060,65766,5371966,144748,0,0,14449140,2006.38,2544,782334,1053730,793852,278536,396472,268514,358392,1161518,19848,0,0,0
neg,41084,246,184,0,0,0,0,0,856,107876,1530148,731660,113934,8974,512,1122254,0,0,0,2444,3572,2265012,2003306,457460,218748,0,0,0,0,236,146,0,0,0,0,0,0,1158168,207798,1127994,0,1438,402,528,27430,1189740,1273920,502,0,0,0,676800,663816,299682,214414,157658,123510,141718,214062,2300,0,2725314,26,118,324,32,1122254,28464,292360,164450,186020,226960,,39880,41083.49,2725314,2725314,2728436,16864,2696,27624,301080,2493960,1209600,59758,2,60,0,2222356.8,0,269806.08,0,0,0,0,23102,421636,1356254,575066,106108,10092,1616,86,6,12,2725314,3084,426,7710,184768,121432,1896060,262054,18214,212,0,334,422,2190838,46820,0,9626,0,10,2252842,1566,102,0,0,0,0,0,0,0,0,14920,44030,8376,0,0,69956,12372,77540,15300,0,0,0,0,1389030,923.32,972,287484,367908,254182,144274,385826,431580,320338,182754,119560,54,0,0
neg,43380,0,,0,0,0,0,0,0,103652,1629600,1253742,102630,1488,0,1386486,0,0,0,0,0,2718878,2357332,1437356,287102,0,0,0,0,0,0,0,0,0,0,0,20398,1686478,1012912,371324,0,2994,788,1326,2596,13060,3070306,38,4,0,0,1367484,661788,320438,231612,175426,167202,132216,34946,0,0,4157006,28,80,24,1028,1386486,48352,1176160,259692,327120,530300,427040,146340,43379.96,4157006,4157006,4146500,14933,28792,47858,519660,3091112,1209600,0,,,,2720551.68,0,366119.04,14,472,0,0,12106,728292,1628520,670136,43342,7206,1504,6,,0,4157006,5642,554,43534,229480,256046,2227644,313534,14610,68,0,,,,,,,,,,2414,152,0,0,0,0,0,0,0,0,26704,41102,8250,0,0,120812,15428,11267980,1220940,0,0,0,0,3379940,1195.08,1394,388738,548520,555094,434644,756542,243966,98412,39100,26096,0,0,0
neg,28,16,14,2,2,0,0,0,0,1988,6240,4782,0,0,0,5368,0,156,0,0,0,25580,21970,8856,456,0,0,0,0,40,52,0,0,0,0,0,0,0,988,12022,0,1100,28,38,40,42,758,11004,0,0,0,10996,696,188,344,110,86,432,68,24,66,34496,0,4,0,0,5368,322,5988,2762,,,,8600,28.75,34496,34496,37726,34,396,3260,34140,13070,1209600,530,0,12,0,5023.68,13.44,6969.6,0,18,0,0,386,4450,5872,1572,676,54,0,0,4,20,34496,1140,22,24,2782,1838,2814,3788,576,26,0,16,86,3770,94,0,14,0,0,5526,92,154,0,0,40,28,0,0,0,0,260,0,0,700,618,200,46,1280,530,10552,12,0,0,0,106.46,56,8298,4200,134,56,136,128,42,16,0,0,0,0
neg,2170,72,70,0,0,0,0,0,0,84,71256,47850,138,0,0,47350,0,0,0,0,0,118870,111636,24998,4376,0,0,0,0,66,24,0,0,0,0,0,0,41800,76204,1324,0,1406,14,32,58,3322,114486,10,0,0,0,29068,69764,14516,4446,786,444,242,62,0,0,143894,12,476,134,0,47350,858,21132,3834,,,,24780,2170.91,143894,143894,142044,429,0,13704,143640,119328,1209600,1878,2,6,0,107980.8,0,9939.84,0,0,0,0,0,26960,86986,5088,238,56,0,0,0,4,143894,1454,18,36,6384,984,12370,95498,2498,86,0,130,76,108888,79002,0,4,0,20,108968,78,36,0,0,0,0,0,0,0,0,492,352,128,0,0,1330,270,560,60,0,0,0,0,1170930,57.36,60,11962,8682,5162,2300,6432,83552,1178,60,0,0,0,0
neg,500,2130706432,24,0,0,0,0,0,0,3416,43820,3414,0,0,0,5614,0,0,0,0,0,47306,37830,17660,4998,0,0,0,0,12,14,0,0,0,0,0,0,0,2802,47848,0,246,242,200,732,622,2232,46376,0,0,0,32978,11402,3614,696,408,284,760,276,50,182,65056,22,4,56,0,5614,768,7424,10168,,,,17040,499.96,65056,65056,65654,172,0,6232,64260,51002,1209600,1786,2,6,0,31154.88,0,18634.56,4,54,0,0,0,20374,23112,4556,2466,122,20,0,2,8,65056,1352,58,2422,6884,1366,11688,24794,2084,2,0,76,12,33758,10290,0,0,0,0,33760,354,78,0,0,0,0,0,0,0,0,966,0,0,0,0,992,218,88940,8882,0,0,0,0,0,1.72,128,20586,10016,2274,584,954,3160,7974,5102,0,0,0,0
neg,41668,182,180,0,0,0,0,0,0,1252,75162,1593860,1433322,42866,114,1349996,0,0,0,0,0,3034812,2755448,1021074,222322,0,0,0,0,474,134,0,0,0,0,0,34284,861394,1491122,759776,0,2668,2700,6974,522034,2162074,450054,72,0,0,0,1250402,681352,398568,311268,243654,189552,71780,0,0,0,4056334,0,444,240,10,1349996,31200,847098,171912,305360,289980,334860,84980,41668.36,4056334,4056334,4056498,17002,0,39454,420820,3146576,1209600,102124,2,102,0,2489103.36,0,655244.16,0,0,0,0,0,6778,222340,1559930,1227692,118938,9788,1110,28,34,4056334,4350,430,114656,221566,287590,2134478,370662,12744,100,0,238,306,2523830,45564,0,38,0,14,2524868,1688,214,0,0,0,0,0,0,0,0,16406,41776,6890,0,0,78380,14332,7160,688,0,0,0,0,2012050,1249.84,1220,677160,621748,416698,200754,369076,284996,199020,137430,227158,12536,0,0
neg,82072,456,394,0,0,0,0,0,0,286,230228,3067538,1299762,53432,0,2496328,249950,0,0,0,0,3771140,3028186,1193626,640448,0,0,0,0,572,216,0,0,0,0,0,147024,1968482,2340454,195286,0,5256,1972,3162,130138,3545276,965346,96,0,0,0,1733108,924078,439056,319672,275348,671114,288870,0,0,0,4965614,0,28,282,4,2496328,95066,513496,678352,252260,222120,386860,33080,82072.35,4965614,4965614,4956564,31032,19682,5104,118460,4651246,1209600,146176,0,96,0,4078750.08,0,567916.8,0,0,0,0,0,29854,1155074,2245134,1105768,102120,11512,1784,3828,3864,4965614,8100,832,76812,346698,203446,1815206,2163002,36740,410,0,712,520,4032656,44386,0,44878,0,0,4093708,3010,150,0,0,0,0,0,0,0,0,61292,63778,11238,0,0,123334,27660,21940,31542,0,0,0,0,42072310,2032.06,1904,597270,740040,412430,180760,349606,354930,418544,412588,1013068,172010,0,0
neg,1146662,8012,,0,0,0,0,43020,2649890,19798982,26783354,8675868,1349790,42998,0,31775120,0,0,,1822192,2422394,53735248,50638526,14788940,3703148,32,0,0,0,10260,5186,0,0,0,0,0,100788,741870,25407856,33093388,0,73160,386168,3047798,13750902,26508122,15577686,60,6,0,0,10098624,21718532,12291152,5780046,2862562,1814514,1244756,1236012,1111964,1185740,70351328,12192,17908,10944,0,31775120,716534,10133362,4623816,157140,298560,246840,20520,1146661.61,70351328,70351328,70216522,277722,2231568,,103980,59343902,1209600,0,,,,52517275.2,0,6789910.08,6490,15518,0,823284,11852816,26389730,14255144,5143024,777090,90020,12692,102,,0,70351328,40376,8780,2200700,3275478,2384362,46219126,4974556,240254,270,0,,,,,,,,,,43050,1526,,,,,,,,,360996,204796,71820,84153990,13208856,1899390,251148,39586460,6933538,44812162,354478,0,0,,24535.88,18658,7124224,5251012,2632454,1031616,2093852,3440164,3214888,33170548,1384606,538,0,0
